hora,minuto,temperaturaFahreinheit
18,56,68.450106157112529
18,57,64.628450106157104
18,58,65.98726114649682
18,59,66.751592356687894
19,0,69.12951167728238
19,1,64.543524416135881
19,2,66.072186836518043
19,3,68.450106157112529
19,4,65.817409766454347
19,5,65.222929936305732
19,6,69.214437367303603
19,7,67.515923566878982
19,8,68.874734607218684
19,9,66.411889596602975
19,10,70.233545647558387
19,11,70.828025477707001
19,12,68.535031847133752
19,13,67.8556263269639
19,14,69.384288747346076
19,15,65.902335456475583
19,16,67.00636942675159
19,17,70.14861995753715
19,18,68.110403397027596
19,19,69.384288747346076
19,20,70.573248407643305
19,21,69.639065817409758
19,22,65.222929936305732
19,23,69.893842887473454
